cod;rubro;eq1;eq2;marca;modelo;detalle;descripcion;venta;costo;fecha
236;BIELETA;JP111;BIE 851;PEUGEOT;406;modelo viejo;Bieleta Delantero;3.010,00;2.230,00;2023-04-26
237;BIELETA;JP112;BIE 857;PEUGEOT;406;;Bieleta Trasera;2.890,00;2.140,00;2023-04-26
238;BIELETA;580C;700007;PEUGEOT;504;Año …/82;Bieleta Delantera;1.485,00;1.100,00;2023-04-10
239;BIELETA;581C;700008;PEUGEOT;504;Año …/82;Bieleta Delantera;1.485,00;1.100,00;2023-04-05
240;BIELETA;584C;700012;PEUGEOT;504;SRX;Bieleta delantera derecha;1.960,00;1.450,00;2023-04-10
241;BIELETA;590C;;PEUGEOT;504;;Bieleta Delantera Derecha;1.485,00;1.100,00;2023-04-05
242;BIELETA;583C;700011;PEUGEOT;504;SRX;Bieleta delantera izquierda;1.960,00;1.450,00;2023-04-10
243;BIELETA;589C;;PEUGEOT;504;;Bieleta Delantera Izquierda;1.485,00;1.100,00;2023-04-05
244;BIELETA;587C;;PEUGEOT;504;;Bieleta Trasera;1.485,00;1.100,00;2023-04-05
245;BIELETA;581C;700008;PEUGEOT;505;Año …/82;Bieleta Delantera;1.485,00;1.100,00;2023-04-05
246;BIELETA;584C;700012;PEUGEOT;505;pick up;Bieleta delantera derecha;1.960,00;1.450,00;2023-04-10
247;BIELETA;586C;700010;PEUGEOT;505;Año …/83;Bieleta delantera derecha;1.960,00;1.450,00;2023-04-10
248;BIELETA;583C;700011;PEUGEOT;505;pick up;Bieleta delantera izquierda;1.960,00;1.450,00;2023-04-10
249;BIELETA;585C;700009;PEUGEOT;505;Año …/83;Bieleta delantera izquierda;1.960,00;1.450,00;2023-04-10
250;BIELETA;582C;;PEUGEOT;505;turbo;Bieleta Trasera;1.620,00;1.200,00;2023-04-10
251;BIELETA;587C;;PEUGEOT;505;;Bieleta Trasera;1.485,00;1.100,00;2023-04-05
252;BIELETA;588C;;PEUGEOT;505;SRI;Bieleta Trasera;1.850,00;1.370,00;2023-04-05
253;BIELETA;JP113;BIE 860;PEUGEOT;605;;Bieleta Delantera;2.860,00;2.120,00;2023-04-26
254;BIELETA;JF402;;PEUGEOT;Boxer;;Bieleta Delantera;4.185,00;3.100,00;2023-04-05
255;BIELETA;JF224;700015;PEUGEOT;Partner;;Bieleta Delantera;3.255,00;2.410,00;2023-05-03
256;BIELETA;60146;700046;RENAULT;Clio;;Bieleta Delantera;880,00;650,00;2023-04-10
257;BIELETA;60146;700046;RENAULT;Clio II;;Bieleta Delantera;880,00;650,00;2023-04-10
258;BIELETA;JD500;;RENAULT;Dacia;;Bieleta Delantera;1.755,00;1.300,00;2023-04-05
259;BIELETA;JR026;700085;RENAULT;Duster;Año 11/…;Bieleta delantera izquierda;3.335,00;2.470,00;2023-05-03
260;BIELETA;JR025;700083;RENAULT;Fluence;Año 10/…;Bieleta delantera izquierda;3.335,00;2.470,00;2023-05-03
261;BIELETA;60146;700046;RENAULT;Kangoo;;Bieleta Delantera;880,00;650,00;2023-04-10
262;BIELETA;JR020;700028;RENAULT;Laguna;Año 94/02;Bieleta delantera izquierda;3.900,00;2.890,00;2023-05-03
263;BIELETA;JR021;700031;RENAULT;Laguna II ;Año 00/…;Bieleta delantera;3.255,00;2.410,00;2023-05-03
264;BIELETA;JR024;700047;RENAULT;Logan;;Bieleta delantera;945,00;700,00;2023-04-10
265;BIELETA;JR022;700029;RENAULT;Master;Año 97/…;Bieleta delantera;3.255,00;2.410,00;2023-05-03
266;BIELETA;JR023;700030;RENAULT;Master;Año 97/…;Bieleta delantera;3.255,00;2.410,00;2023-05-03
267;BIELETA;JR017;700023;RENAULT;Megane II;;Bieleta delantera izquierda;3.255,00;2.410,00;2023-05-03
268;BIELETA;MAY762;700026;RENAULT;R12;;Bieleta delantera;1.350,00;1.000,00;2023-04-10
